Protein A;Gene A;Taxon A;Protein B;Gene B;Taxon B;Score;PMID
P04637;TP53;9606;P01112;HRAS;9606;0.21;21041410 
Q96KQ4;PPP1R13B;9606;P01112;HRAS;9606;0.21;21041410 
P14174;MIF;9606;P04637;TP53;9606;0.21;18815136 
P04637;TP53;9606;P02340;TP53;10090;0.183;15383276 
Q8N9B5;JMY;9606;P04637;TP53;9606;0.21;10518217 
Q99856;ARID3A;9606;P04637;TP53;9606;0.21;15017387 
Q99966;CITED1;9606;P04637;TP53;9606;0.21;20227041 
Q99973;TEP1;9606;P04637;TP53;9606;0.309;10597287 
Q8NC51;SERBP1;9606;P04637;TP53;9606;0.21;16455055 
Q96J02;ITCH;9606;P04637;TP53;9606;0.507;18559494 21474069 
Q96GG9;DCUN1D1;9606;Q13625;TP53BP2;9606;0.454;25416956 
Q96GM5;SMARCD1;9606;P04637;TP53;9606;0.21;18303029 
Q8NDX5;PHC3;9606;P04637;TP53;9606;0.126;27705803 
P61081;UBE2M;9606;P04637;TP53;9606;0.309;15242646 
P61086;UBE2K;9606;P04637;TP53;9606;0.569;23933584 
Q8NEY8;PPHLN1;9606;Q13625;TP53BP2;9606;0.332;21900206 
P62380;TBPL1;9606;P04637;TP53;9606;0.569;28082682 
Q8NF64;ZMIZ2;9606;P04637;TP53;9606;0.309;17584785 
P04637;TP53;9606;P03118;E2 {ECO:0000255|HAMAP-RULE:MF_04001};10583;0.126;22761572 
P04637;TP53;9606;P03120;E2;333760;0.523;22761572 10618715 
Q96KQ4;PPP1R13B;9606;Q8TDR0;TRAF3IP1;9606;0.183;17043677 
Q8NFN8;GPR156;9606;P04637;TP53;9606;0.126;28514442 
P04637;TP53;9606;P03243;P03243;28285;0.033;7926727 
P04637;TP53;9606;P03244;E1B;10515;0.21;14527689 
P04637;TP53;9606;P03372;ESR1;9606;0.569;17545634 10766163 26556313 
Q13625;TP53BP2;9606;P62826;RAN;9606;0.702;24855949 
Q96KQ4;PPP1R13B;9606;P62826;RAN;9606;0.21;24855949 
P62829;RPL23;9606;P04637;TP53;9606;0.454;15308643 23443559 
P61201;COPS2;9606;P04637;TP53;9606;0.21;16045761 
P61221;ABCE1;9606;P04637;TP53;9606;0.126;25659154 
Q8ZJL7;FIEF;632;P04637;TP53;9606;0.126;20711500 
Q13625;TP53BP2;9606;P27348;YWHAQ;9606;0.183;15161933 
Q03468;ERCC6;9606;P04637;TP53;9606;0.765;22032989 10882116 7663514 
Q13625;TP53BP2;9606;P31016;DLG4;10116;0.183;20467438 
P31350;RRM2;9606;P04637;TP53;9606;0.261;12615712 
P63085;MAPK1;10090;P04637;TP53;9606;0.309;10958792 
Q92540;SMG7;9606;P04637;TP53;9606;0.623;22653443 27462439 
Q8TEB7;RNF128;9606;P04637;TP53;9606;0.671;23370271 
Q04195;SIZ1;559292;P04637;TP53;9606;0.309;19748360 
P63103;YWHAZ;9913;P04637;TP53;9606;0.21;9620776 
Q92769;HDAC2;9606;P04637;TP53;9606;0.787;20388487 14976551 20190809 21344396 22493095 17827154 
Q9DH70;Q9DH70;10633;P04637;TP53;9606;0.033;8344494 
Q9DUG7;Q9DUG7;10632;P04637;TP53;9606;0.126;22810586 
P63151;PPP2R2A;9606;P04637;TP53;9606;0.21;17245430 
Q92843;BCL2L2;9606;P04637;TP53;9606;0.309;24491548 
Q92843;BCL2L2;9606;Q13625;TP53BP2;9606;0.671;18719108 18448430 
Q92844;TANK;9606;Q13625;TP53BP2;9606;0.454;25416956 
P31689;DNAJA1;9606;P04637;TP53;9606;0.523;23443559 25144556 27775703 
Q13625;TP53BP2;9606;Q05086;UBE3A;9606;0.126;29426014 
Q05516;ZBTB16;9606;P04637;TP53;9606;0.21;24821727 
Q13625;TP53BP2;9606;P67870;CSNK2B;9606;0.332;21900206 
Q01664;TFAP4;9606;P04637;TP53;9606;0.126;19505873 
Q13625;TP53BP2;9606;P68104;EEF1A1;9606;0.286;16169070 
P27694;RPA1;9606;P04637;TP53;9606;0.671;15735006 15489903 11751427 8663296 
Q9GZQ8;MAP1LC3B;9606;P04637;TP53;9606;0.126;25144556 
Q9BVJ6;UTP14A;9606;P04637;TP53;9606;0.623;21078665 
Q9BVJ6;UTP14A;9606;Q13625;TP53BP2;9606;0.286;16169070 
Q9BVK6;TMED9;9606;P04637;TP53;9606;0.126;9472029 
Q9GZV5;WWTR1;9606;Q13625;TP53BP2;9606;0.21;21189257 
Q06486;CSNK1D;10116;P04637;TP53;9606;0.033;17101137 
Q9H0F5;RNF38;9606;P04637;TP53;9606;0.671;23973461 20308539 
Q969H0;FBXW7;9606;P04637;TP53;9606;0.126;28514442 
Q9H0W5;CCDC8;9606;P04637;TP53;9606;0.671;22653443 23443559 22084066 
P69713;X;480116;P04637;TP53;9606;0.21;23507139 
Q969K3;RNF34;9606;P04637;TP53;9606;0.21;17121812 
Q06945;SOX4;9606;P04637;TP53;9606;0.569;19234109 
Q07009;CAPN2;10116;P04637;TP53;9606;0.309;22711986 
Q9BY41;HDAC8;9606;P04637;TP53;9606;0.309;17721440 
Q9BYC9;MRPL20;9606;Q13625;TP53BP2;9606;0.286;16169070 
Q9BYG5;PARD6B;9606;Q13625;TP53BP2;9606;0.126;26496610 
Q13625;TP53BP2;9606;P61968;LMO4;9606;0.454;25416956 
P61981;YWHAG;9606;P04637;TP53;9606;0.454;22653443 19933256 18812399 
Q02447;SP3;9606;P04637;TP53;9606;0.21;12665570 
P32780;GTF2H1;9606;P04637;TP53;9606;0.948;18354501 7935417 8612585 18160537 16793543 
Q5BJF6;ODF2;9606;Q13625;TP53BP2;9606;0.126;26638075 
Q13625;TP53BP2;9606;P81122;IRS2;10090;0.454;17965023 
Q5JU00;TCTE1;9606;Q13625;TP53BP2;9606;0.126;26638075 
Q5JVS0;HABP4;9606;P04637;TP53;9606;0.569;16455055 
Q13625;TP53BP2;9606;P62258;YWHAE;9606;0.126;17979178 
Q5NIP5;GATB;177416;P04637;TP53;9606;0.126;20711500 
Q5S007;LRRK2;9606;P04637;TP53;9606;0.126;24725412 
